,Registration Number,Annual Turnover
131,50132,27415901.114596646
132,50133,36911605.11783946
133,50134,26801515.11311473
134,50135,35787766.10637447
135,50136,41009667.89828836
136,50137,35786883.222422816
137,50138,35784234.1717587
138,50139,25555756.02131933
139,50140,24973176.77271222
140,50141,31370979.939971242
141,50142,33962051.916938104
142,50143,23926317.876468144
143,50144,30900846.031528488
144,50145,26413111.36518357
145,50146,36812718.9578427
146,50147,39923939.92917962
147,50148,24474747.586837493
148,50149,22536572.452165507
149,50150,34760914.13392165
150,50151,25828908.136486635
151,50152,11500892.883808088
152,50153,39025974.45812901
153,50154,17034165.169465393
154,50155,40965772.25061454
155,50156,20984653.150712624
156,50157,32420261.70482608
157,50158,41721879.22844185
158,50159,32174544.32114027
159,50160,19711784.293409813
160,50161,34021292.59033636
161,50162,46319852.18540199
162,50163,29471392.610246252
163,50164,38715502.99938984
164,50165,36161070.8973049
165,50166,20075390.975787465
166,50167,31204474.434519198
167,50168,29781613.7544517
168,50169,36958839.0755685
169,50170,32482760.845289744
170,50171,41339548.675093815
171,50172,31163381.85355513
172,50173,39424359.62532759
173,50174,34713805.468559764
174,50175,33356640.49214136
175,50176,34510880.43694468
176,50177,37759653.634789675
177,50178,47107058.564263426
178,50179,16116995.444085483
179,50180,39083085.3912044
180,50181,25971097.968854815
181,50182,29815621.55814067
182,50183,25216493.407285176
183,50184,40878760.943176374
184,50185,37813395.50657268
185,50186,34063743.2961472
186,50187,25257244.49492134
187,50188,39209211.73827194
188,50189,29033466.753140755
189,50190,31329722.568939645
190,50191,27912342.222552285
191,50192,41342279.4279459
192,50193,38215131.98643643
193,50194,29858026.413523585
194,50195,39119456.29443155
195,50196,25385207.88686442
196,50197,24485574.320382923
197,50198,25244826.41716072
198,50199,24850813.955685865
199,50200,50202839.21538968
200,50201,19579505.431532517
201,50202,28882089.63040315
202,50203,16699115.735078473
203,50204,40467560.4552941
204,50205,28855911.375926018
205,50206,40547855.76972239
206,50207,22322298.391217113
207,50208,47057243.58964692
208,50209,27122172.503736198
209,50210,34912898.77079437
210,50211,33574302.64498194
211,50212,31684135.49751209
212,50213,37935529.589800574
213,50214,36005410.02066791
214,50215,33305917.073986433
215,50216,35679861.14021173
216,50217,18066700.49682366
217,50218,42096721.9046808
218,50219,21796487.96676623
219,50220,29291669.43269621
220,50221,43347302.37480455
221,50222,28248334.45707113
222,50223,30956528.80138099
223,50224,18987344.331544027
224,50225,30862840.175296906
225,50226,32636419.148694146
226,50227,27315932.250480562
227,50228,29217595.94002333
228,50229,18157743.000368565
229,50230,45183836.830650434
230,50231,37572531.076227725
231,50232,24815760.26269809
232,50233,24051608.95302217
233,50234,37876965.35013524
234,50235,36245893.55713202
235,50236,44501395.262210235
236,50237,23459133.558624607
237,50238,17137074.152023844
238,50239,30737097.89815446
239,50240,32747905.76721028
240,50241,31716724.763113342
241,50242,35897830.659259036
242,50243,26677374.661320318
243,50244,39011342.42762672
244,50245,27473416.720314182
245,50246,31580601.37290799
246,50247,42344596.74958179
247,50248,35298626.042180076
248,50249,37226477.534551576
249,50250,22804208.71164499
250,50251,28087967.957351055
251,50252,26974931.10934587
252,50253,36220136.13377274
253,50254,27606145.306853957
254,50255,36909982.77423782
255,50256,32352340.9008428
256,50257,34143470.39541841
257,50258,24481328.737037938
258,50259,34274509.63962608
259,50260,31910428.28063306
260,50261,24700319.24312479
261,50262,18881887.002328828
262,50263,18023992.554332566
263,50264,26524794.390797902
264,50265,28831834.543167043
265,50266,29957058.221317183
266,50267,33383745.13725297
267,50268,32838167.886213914
268,50269,47253194.1536436
269,50270,37052187.004072115
270,50271,28207744.127585355
271,50272,32394128.080951788
272,50273,29865620.652954414
273,50274,13947929.36257105
274,50275,28235781.752566293
275,50276,31950596.140508376
276,50277,38007229.05942324
277,50278,17934656.475117434
278,50279,28928951.74688534
279,50280,30059689.649945892
280,50281,30816788.25323516
281,50282,35613488.81394757
282,50283,26429917.170397103
283,50284,39103616.50274397
284,50285,23489445.141896352
285,50286,26409467.790566474
286,50287,18662017.755469143
287,50288,48887809.06311622
288,50289,26086538.25122771
289,50290,32899473.976843085
290,50291,26774067.39716114
291,50292,23573022.98134489
292,50293,27667742.58117794
293,50294,15656312.268777039
294,50295,35107139.4495003
295,50296,30821296.977418106
296,50297,31071221.516670153
297,50298,32917728.702509943
298,50299,30367726.021978933
299,50300,32080852.2180426
300,50301,39458639.340655565
301,50302,23506535.689572953
302,50303,29060992.21964775
303,50304,41768550.86630204
304,50305,27048733.59703613
305,50306,36430983.20133882
306,50307,29137243.723294005
307,50308,36371198.1499297
308,50309,32819461.191616807
309,50310,28240676.95619809
310,50311,22827148.465154395
311,50312,34837517.48447538
312,50313,27391156.30219772
313,50314,33094119.273975555
314,50315,24153367.263828255
315,50316,43438843.415417925
316,50317,34774027.510830596
317,50318,33797255.223067045
318,50319,30692583.143700723
319,50320,37941866.94943189
320,50321,28207813.26088081
321,50322,27381244.564901043
322,50323,34869737.77498665
323,50324,31545537.28802027
324,50325,17453374.15572741
325,50326,36428817.81720804
326,50327,37790239.847999565
327,50328,30227405.737105995
328,50329,40346116.58491732
329,50330,30496653.360457584
330,50331,21408496.4255054
331,50332,27646160.78440108
332,50333,30318140.270930603
333,50334,27010724.79971295
334,50335,38353066.57523911
335,50336,34310961.9994948
336,50337,20625648.87561921
337,50338,23514028.94027206
338,50339,29583181.85978385
339,50340,27628118.54022124
340,50341,24899315.69628383
341,50342,33449623.240786698
342,50343,35559910.79650803
343,50344,30906533.576533724
344,50345,44312593.15366303
345,50346,25171545.50194584
346,50347,27096692.281534895
347,50348,24082723.645797707
348,50349,28615358.95005108
349,50350,31090607.97468794
350,50351,26980174.786802746
351,50352,35117521.67598074
352,50353,37875139.614710726
353,50354,38490072.55746419
354,50355,15236068.314393071
355,50356,32189442.70135378
356,50357,29061151.768276006
357,50358,25079937.801617503
358,50359,25649379.5221391
359,50360,19678565.975094408
360,50361,28111994.733906783
361,50362,36712927.05066322
362,50363,33454647.124453437
363,50364,40228035.524534985
364,50365,20619844.357845508
365,50366,43154992.10303732
366,50367,42932780.63751973
367,50368,24702420.839281075
368,50369,39665841.79689886
369,50370,21686587.701454192
370,50371,41725867.86942895
371,50372,33324482.860033415
372,50373,29993681.6442703
373,50374,33752624.15946466
374,50375,20680294.74985846
375,50376,24396977.024916828
376,50377,17591715.648072813
377,50378,26127588.46570242
378,50379,35384548.67587696
379,50380,16438137.527232796
380,50381,24217022.8432908
381,50382,39781371.528995216
382,50383,29569292.586905215
383,50384,31595656.034361497
384,50385,14901338.900525838
385,50386,29945639.97829468
386,50387,30638446.03853786
387,50388,30837174.993573956
388,50389,38609513.97701637
389,50390,26912720.905007564
390,50391,30166450.894704577
391,50392,44801542.996899396
392,50393,26388787.10955101
393,50394,27249741.17916087
394,50395,30580541.66315146
395,50396,36513031.79187561
396,50397,41645542.65524115
397,50398,30394758.18724699
398,50399,28068544.197781842
399,50400,37501584.51944178
400,50401,34466764.68534065
401,50402,15180562.749197615
402,50403,26165193.267198823
403,50404,37290735.24830495
404,50405,22692370.210721828
405,50406,25568083.750497125
406,50407,31548408.374464575
407,50408,28949112.14656397
408,50409,36326400.61372505
409,50410,34274452.152876385
410,50411,30887475.54135363
411,50412,31776420.476969045
412,50413,36143933.27219321
413,50414,26450343.199893743
414,50415,45977763.65783799
415,50416,36851483.69643193
416,50417,28951660.56023322
417,50418,36201779.87399202
418,50419,26959473.26741674
419,50420,29009658.50029444
420,50421,15176781.111033684
421,50422,34839982.02214555
422,50423,31182142.60134752
423,50424,40743312.06378117
424,50425,28279148.403747704
425,50426,34336899.90135672
426,50427,20035132.497696098
427,50428,33002760.42980533
428,50429,23757975.58231827
429,50430,16133910.739291212
430,50431,17638259.309526376
431,50432,26551613.01459805
432,50433,25620204.72935804
433,50434,24796698.559687156
434,50435,39110582.789572775
435,50436,32447479.81465582
436,50437,23773017.8415724
437,50438,30896605.97998149
438,50439,19268727.84351554
439,50440,34616077.108170286
440,50441,24347355.17846539
441,50442,24628240.905305386
442,50443,19493959.728118308
443,50444,37708265.09958584
444,50445,24407392.810378864
445,50446,32330167.833076596
446,50447,35420417.61384317
447,50448,16230083.970618587
448,50449,40515487.237284
449,50450,34994425.44606169
450,50451,31261200.21197431
451,50452,20702110.31533705
452,50453,27476475.58802789
453,50454,28151240.328810614
454,50455,19033717.953884438
455,50456,23863175.716944035
456,50457,27555942.24868878
457,50458,18633227.233480148
458,50459,31652035.764774457
459,50460,25594790.248195518
460,50461,26542008.16355212
461,50462,36548240.25637688
462,50463,30394422.757069726
463,50464,34944022.6283489
464,50465,23430677.680819478
465,50466,33022584.880805902
466,50467,31739541.304180052
467,50468,40957433.00708239
468,50469,36214157.39189803
469,50470,23779788.79134532
470,50471,30579573.42197239
471,50472,32816891.049724244
472,50473,34368290.805427626
473,50474,27547733.93415799
474,50475,34512583.93406685
475,50476,40790059.426359475
476,50477,24986822.204304587
477,50478,36465639.35940745
478,50479,24835259.174340073
479,50480,23808800.38415236
480,50481,37551103.89834743
481,50482,44918715.25067969
482,50483,39014929.73722733
483,50484,27624947.214548454
484,50485,36833719.31031629
485,50486,28876109.636517093
486,50487,36572034.6640326
487,50488,37081089.915916815
488,50489,41868798.05220315
489,50490,29451689.854464594
490,50491,30494399.867812164
491,50492,25486179.008432776
492,50493,28651390.152878135
493,50494,29521301.763396405
494,50495,25643761.52803429
495,50496,20475906.949504685
496,50497,30905416.546946708
497,50498,25426382.191389296
498,50499,22566728.672362883
499,50500,32582512.73697024
