Registration Number,Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Live Sports Rating,Ambience,Lively,Service,Comfortablility,Privacy
20019,12000000,"nigerian,cajun",Gurgaon,Near Party Hub,03-12-2011,65,Not Specific,64.8,1,1,1,1,1,2,Bar,Arabian,2,0,3,4,4,5,7,8,4,NA,NA,NA,6,7,7,3,9
20020,32500000,"tibetan,greek",Pune,Near Business Hub,25-11-2009,79,Tier A Celebrity,62.2,0,1,1,1,1,2,Bar,Arabian,3,0,6,4,4,4,5,9,5,NA,NA,NA,8,7,4,3,6
20021,32000000,"tibetan,greek",Bangalore,Near Business Hub,21-07-2007,91.2,Not Specific,84.63,1,1,1,1,1,2,Bar,Arabian,3,0,5,4,5,4,5,10,4,NA,NA,NA,6,8,6,3,7
20022,20000000,"tibetan,greek",-1,Near Business Hub,15-08-2010,75.67,Not Specific,74.4,1,1,0,0,1,2,Bar,90's,3,0,5,3,5,4,8,10,4,NA,NA,NA,4,5,2,4,4
20023,19000000,"algerian,algerian",Hyderabad,Near Party Hub,18-01-2011,,Not Specific,95.2,1,1,1,1,1,2,Bar,Greek,3,0,10,3,4,4,7,NA,4,NA,NA,NA,6,5,3,5,1
20024,18000000,"british,japanese",Bangalore,Near Party Hub,25-07-2005,70,Not Specific,43.42,1,1,1,1,0,2,Bar,Greek,1,1,6,3,3,2,8,10,NA,3,NA,NA,5,2,1,3,0
20025,33500000,"japanese,thai",Hyderabad,Near Party Hub,23-06-2012,,Not Specific,90,1,1,1,1,0,2,Bar,Arabian,3,1,7,6,5,6,7,7,4,NA,3,NA,7,8,5,2,5
20026,43500000,"polish,jewish",Gurgaon,Near Business Hub,25-02-2010,86.8,Tier A Celebrity,82.8,0,1,1,1,1,2,Bar,Arabian,3,0,3,5,5,5,5,10,5,NA,4,NA,7,9,3,5,6
20027,34500000,"turkish,nigerian",Bangalore,Near Party Hub,31-01-2007,90.88,Not Specific,82.5,0,1,1,1,1,2,Bar,Arabian,2,0,9,4,3,4,7,9,5,3,NA,3,8,7,1,7,9
20028,30000000,"tibetan,greek",Bangalore,Near Party Hub,28-01-2012,76.8,Not Specific,83,1,1,1,1,1,2,Bar,Greek,3,0,1,5,5,6,7,9,NA,4,NA,NA,8,9,6,3,5
20029,14500000,"indian,irish",Noida,Near Party Hub,15-01-2013,84,Tier A Celebrity,68,1,1,1,1,1,2,Bar,Greek,3,0,2,5,5,3,9,7,3,2,NA,NA,7,8,7,3,6
20030,22000000,"indian,irish",Gurgaon,Near Party Hub,07-06-2011,64,Tier A Celebrity,74,0,1,0,1,0,2,Bar,90's,2,0,8,4,3,4,6,8,3,NA,3,NA,0,3,5,4,5
20031,53000000,"tibetan,italian",Hyderabad,Near Party Hub,29-09-2008,84,Not Specific,,0,1,1,1,1,2,Bar,Arabian,3,0,6,4,4,6,8,10,4,NA,NA,NA,6,8,4,1,5
20032,34000000,"tibetan,greek",Bangalore,Near Party Hub,19-10-2011,77.2,Not Specific,86.1,1,1,1,1,0,2,Bar,Arabian,3,0,7,5,4,4,10,10,4,NA,4,NA,6,9,7,0,7
20033,36000000,"polish,jewish",Noida,Near Business Hub,09-09-2010,87,Tier A Celebrity,84.4,0,1,1,1,1,1,Bar,Arabian,3,1,8,5,4,2,7,8,3,NA,NA,NA,5,6,2,6,6
20034,14500000,"cuban,british",Kolkata,Near Party Hub,02-01-2011,73,Not Specific,68.4,1,1,1,0,1,2,Bar,90's,3,1,9,5,5,6,9,9,4,NA,5,NA,5,8,3,2,9
20035,21500000,"chinese,salvadorian",Bangalore,Near Business Hub,25-08-2008,,Tier A Celebrity,,0,1,1,0,1,2,Bar,Arabian,3,0,7,4,5,4,8,7,4,NA,3,NA,10,9,5,0,9
20036,35000000,"indian,irish",mohali,Near Business Hub,10-09-2009,85,Tier A Celebrity,61,1,1,1,0,0,2,Bar,Greek,2,0,9,5,4,4,6,NA,NA,NA,NA,NA,6,5,9,2,10
20037,27000000,"tibetan,greek",Hyderabad,Near Business Hub,17-08-2011,91.5,Not Specific,93.8,1,1,1,1,1,1,Bar,Arabian,3,1,10,3,5,5,8,8,4,NA,NA,NA,4,7,5,4,6
20038,8000000,"indian,irish",Gurgaon,Near Party Hub,09-02-2012,77,Tier A Celebrity,85.4,1,1,0,1,1,2,Bar,Greek,2,0,9,4,6,4,7,10,4,3,NA,NA,7,8,5,0,6
20039,33000000,"chinese,salvadorian",Bangalore,Near Party Hub,27-09-2010,52.33,Not Specific,67,1,1,1,1,1,2,Caffee,Arabian,3,0,3,4,5,5,5,10,4,NA,NA,NA,6,9,6,5,8
20040,20000000,"chinese,salvadorian",-1,Near Party Hub,23-02-2010,88,Local Celebrity,,1,1,1,0,1,2,Bar,Greek,3,0,8,5,6,6,9,6,NA,2,NA,NA,7,9,5,0,6
20041,12000000,"indian,irish",Jhansi,Near Party Hub,29-04-2008,66.6,Tier A Celebrity,68.6,1,1,1,1,1,2,Bar,Nature,2,0,1,4,5,4,10,6,NA,NA,NA,2,6,7,5,3,8
20042,14500000,"welsh,thai",Delhi,Near Party Hub,17-04-2011,75,Tier A Celebrity,60,1,1,1,1,1,2,Bar,Arabian,2,0,6,3,5,4,8,7,3,NA,3,NA,5,4,2,1,4
20043,35000000,"chinese,salvadorian",Bangalore,Near Party Hub,06-12-2010,91.4,Tier A Celebrity,73,0,1,1,1,1,1,Bar,90's,3,0,10,5,5,8,7,7,5,NA,3,NA,6,7,3,1,4
20044,12000000,"tibetan,italian",Hyderabad ,Near Party Hub,30-06-2012,59,Not Specific,87.7,1,1,1,1,1,2,Bar,Greek,3,1,5,3,3,3,6,6,1,2,NA,NA,6,2,4,4,0
20045,38000000,"japanese,thai",Bangalore ,Near Business Hub,02-01-2008,,Not Specific,,1,1,0,1,1,2,Bar,Arabian,5,0,8,4,5,5,6,7,3,NA,NA,NA,8,8,3,4,7
20046,11000000,"chinese,salvadorian",Chennai,Near Party Hub,08-10-2011,95.8,Not Specific,87.16,1,1,1,1,1,2,Bar,Nature,3,0,10,4,3,5,8,6,NA,NA,NA,2,5,4,5,2,4
20047,20500000,"peruvian,cuban",noida,Near Business Hub,19-09-2010,85.6,Tier A Celebrity,82,1,1,1,1,1,2,Bar,Arabian,3,0,8,3,4,4,5,6,4,NA,2,NA,7,8,5,3,8
20048,9500000,"welsh,thai",delhi,Near Party Hub,27-01-2011,69.6,Not Specific,,1,1,1,1,0,2,Bar,Arabian,3,0,9,4,4,5,6,9,NA,NA,NA,NA,6,8,3,7,7
20049,39000000,"tibetan,greek",Bangalore,Near Party Hub,23-02-2010,86.6,Tier A Celebrity,75,1,1,1,1,0,2,Bar,Arabian,3,0,4,5,5,5,8,7,4,NA,3,NA,1,7,5,4,8
20050,27000000,"japanese,thai",Bangalore,Near Party Hub,22-03-2008,81.92,Not Specific,61.46,1,1,1,1,1,2,Bar,90's,1,1,10,5,4,4,9,9,5,NA,NA,NA,9,10,8,0,9
20051,6000000,"japanese,thai",Bhubaneswar,Near Business Hub,08-02-2007,66.5,Tier A Celebrity,49.5,0,1,1,1,1,2,Caffee,Arabian,4,0,10,5,5,4,6,9,5,NA,NA,NA,4,7,0,6,7
20052,12000000,"cuban,british",Hyderabad,Near Party Hub,29-10-2010,80,Not Specific,72.5,0,1,1,1,1,2,Bar,Greek,1,0,6,5,4,4,10,10,4,3,NA,NA,6,6,2,3,4
20053,40000000,"tibetan,greek",Navi Mumbai,Near Party Hub,05-03-2011,85.2,Tier A Celebrity,81.5,1,1,1,1,0,2,Bar,Arabian,1,0,10,5,3,4,7,10,4,NA,NA,NA,9,7,7,5,7
20054,35000000,"british,japanese",Mumbai,Near Party Hub,01-08-2010,89.25,Not Specific,78,1,1,1,0,1,2,Bar,Chinese,4,1,6,5,5,5,5,10,NA,NA,NA,NA,6,6,3,0,4
20055,12000000,"irish,belgian",New Delhi,Near Business Hub,09-01-2011,,Tier A Celebrity,64.8,1,1,1,1,1,2,Caffee,Arabian,4,0,3,4,4,5,8,10,4,NA,NA,NA,7,7,3,3,6
20056,25000000,"tibetan,greek",Mangalore,Near Party Hub,08-02-2011,90.8,Not Specific,90.1,1,1,1,0,1,2,Bar,Arabian,2,0,9,5,5,5,8,8,4,NA,3,NA,6,8,4,6,6
20057,24000000,"algerian,korean",Rewari,Near Business Hub,10-07-2008,78,Tier A Celebrity,70.1,1,1,0,1,1,2,Bar,Greek,2,0,4,4,5,4,8,10,NA,3,NA,NA,8,6,3,2,5
20058,52500000,"swedish,greek",Hyderabad,Near Business Hub,10-08-2008,89.88,Not Specific,95.4,1,1,1,0,1,2,Bar,Greek,4,1,1,5,4,6,7,10,NA,3,NA,NA,7,6,3,3,6
20059,20000000,"algerian,belgian",Gaziabaad,Near Party Hub,22-03-2009,63.3,Not Specific,61.1,1,1,1,1,1,2,Bar,Greek,2,0,2,4,5,6,6,6,NA,2,NA,NA,4,5,4,3,4
20060,12000000,"tibetan,greek",Bangalore,Near Party Hub,25-10-1996,72,Tier A Celebrity,49,1,1,1,1,0,2,Bar,Arabian,1,0,4,6,4,2,5,8,4,3,NA,3,6,6,3,3,6
20061,30500000,"tibetan,greek",Chennai,Near Business Hub,22-12-2010,83,Not Specific,79,1,1,0,0,1,2,Bar,90's,3,1,5,4,4,3,10,6,3,NA,NA,NA,6,6,5,7,6
20062,30000000,"british,japanese",Chennai,Near Party Hub,25-06-2012,85.3,Not Specific,88.3,1,1,1,1,0,2,Bar,Arabian,4,1,6,3,3,3,8,7,3,NA,3,NA,10,10,5,4,8
20063,14500000,"algerian,belgian",Noida,Near Business Hub,25-02-2010,81,Tier A Celebrity,77.8,0,1,1,0,0,2,Bar,Greek,2,0,9,5,5,3,7,7,NA,2,NA,NA,4,5,5,2,5
20064,15000000,"chinese,salvadorian",Bhiwadi,Near Party Hub,05-01-2011,60.66,Not Specific,62.4,1,1,1,1,1,2,Bar,Nature,2,0,5,3,4,4,7,10,3,NA,NA,4,2,1,0,4,0
20065,60000000,"indian,irish",Gurgaon,Near Party Hub,24-05-2005,,Tier A Celebrity,83,0,1,1,1,0,1,Bar,90's,3,1,7,4,5,6,8,9,8,NA,NA,NA,8,7,6,5,7
20066,31000000,"tibetan,greek",Mysore,Near Party Hub,27-11-2009,89.37,Not Specific,79,1,1,1,1,1,2,Bar,Greek,3,0,1,6,5,5,10,7,NA,2,NA,NA,8,9,4,1,9
20067,45500000,"tibetan,greek",Bangalore,Near Party Hub,24-08-2008,90,Not Specific,94.4,1,1,1,0,1,2,Bar,Greek,3,0,2,5,5,5,7,6,6,2,NA,NA,6,6,5,1,6
20068,40000000,"swedish,greek",Bangalore,Near Business Hub,31-07-2010,81,Tier A Celebrity,79,0,1,1,1,1,2,Bar,Greek,3,0,10,5,5,5,6,8,4,3,NA,NA,3,0,0,5,3
20069,15000000,"turkish,sapnish",Chennai,Near Business Hub,13-03-2008,78,Not Specific,86.67,1,1,1,1,1,2,Bar,English,3,1,10,5,4,5,5,9,4,4,NA,NA,5,9,5,3,6
20070,25000000,"welsh,thai",Mangalore,Near Party Hub,11-01-2012,84.4,Tier A Celebrity,73.2,1,1,1,0,1,2,Bar,Arabian,3,0,9,5,4,5,10,10,4,NA,NA,NA,6,8,5,2,6
20071,32000000,"tibetan,greek",Chennai,Near Party Hub,08-12-2011,89,Not Specific,92,1,1,0,1,1,2,Bar,Chinese,3,1,8,6,6,6,5,9,3,3,NA,NA,4,4,2,7,2
20072,25000000,"indian,irish",Rajkot,Near Party Hub,28-11-2009,86,Not Specific,64,1,1,1,1,1,2,Bar,90's,2,0,10,6,5,4,7,9,4,NA,5,NA,9,9,9,2,9
20073,20000000,"turkish,nigerian",Bangalore,Near Party Hub,17-12-2011,,Tier A Celebrity,75,0,1,0,1,1,2,Bar,Arabian,2,1,2,6,4,5,5,9,4,NA,4,NA,9,9,5,1,7
20074,24000000,"irish,belgian",Greater Noida,Near Party Hub,02-07-2011,75,Tier A Celebrity,64,0,1,0,1,1,2,Bar,Arabian,2,0,5,5,4,4,8,NA,NA,NA,NA,NA,6,8,7,4,5
20075,12000000,"cuban,british",Indore,Near Business Hub,05-08-2010,,Not Specific,77,0,1,1,1,1,2,Bar,Arabian,3,0,4,3,5,2,5,6,4,NA,1,NA,7,7,5,4,6
20076,30000000,"japanese,thai",Bangalore,Near Party Hub,30-08-2011,70.6,Tier A Celebrity,78.67,1,1,1,0,1,2,Bar,Greek,3,1,7,5,4,5,6,6,2,1,NA,NA,8,7,2,2,5
20077,80000000,"tibetan,greek",Bangalore,Near Party Hub,20-01-2010,93.44,Not Specific,90,1,1,1,1,1,2,Bar,Arabian,4,0,8,5,4,6,6,9,5,NA,NA,NA,6,8,4,3,7
20078,12000000,"swedish,greek",-1,Near Party Hub,13-02-2011,76,Not Specific,72,0,1,1,1,0,2,Bar,Arabian,2,0,7,5,3,3,10,6,2,NA,NA,NA,6,6,5,4,6
20079,32500000,"tibetan,greek",Mysore,Near Business Hub,30-04-2012,86.4,Tier A Celebrity,78.2,1,1,0,1,1,2,Bar,Greek,3,1,2,5,4,4,6,7,3,2,5,NA,8,9,7,5,6
20080,10000000,"welsh,thai",-1,Near Business Hub,13-05-2011,86,Not Specific,95,1,1,1,1,0,2,Bar,Greek,3,0,3,4,5,4,7,10,3,3,NA,NA,8,6,5,3,8
20081,30000000,"swedish,greek",Bangalore,Near Party Hub,22-09-2011,84.83,Tier A Celebrity,82.4,1,1,1,1,0,2,Bar,Arabian,3,0,6,6,5,7,10,10,5,NA,4,NA,6,7,5,0,6
20082,28000000,"tibetan,greek",New Delhi,Near Party Hub,30-06-2009,72.3,Tier A Celebrity,60.2,0,1,0,1,1,2,Bar,Greek,2,1,2,5,4,4,8,10,NA,3,NA,NA,9,8,4,6,5
20083,21500000,"algerian,korean",New Delhi,Near Business Hub,10-03-2006,69,Tier A Celebrity,62.6,1,1,0,0,1,2,Bar,Chinese,3,0,5,3,4,4,10,10,1,3,NA,NA,6,7,4,4,8
20084,14500000,"peruvian,cuban",Jaipur,Near Party Hub,18-11-2012,80,Not Specific,70,1,1,1,1,0,2,Bar,Greek,1,1,5,4,4,3,7,NA,NA,NA,NA,NA,7,6,6,7,7
20085,44500000,"british,japanese",Pune,Near Business Hub,05-05-2006,,Not Specific,71.33,0,1,1,0,0,2,Caffee,Arabian,2,1,3,3,5,5,5,10,4,NA,NA,NA,2,6,2,5,5
20086,31500000,"polish,jewish",noida ,Near Party Hub,13-08-2012,86.16,Tier A Celebrity,70.08,1,1,1,0,1,2,Bar,Greek,2,0,3,4,5,5,8,7,2,2,NA,NA,8,9,8,0,7
20087,10000000,"welsh,thai",Kolkata,Near Business Hub,08-11-2006,75,Not Specific,78,1,1,1,1,1,2,Bar,Arabian,3,1,6,4,4,3,10,8,4,NA,NA,NA,8,9,7,2,9
20088,20000000,"welsh,thai",Noida,Near Party Hub,27-04-2011,56,Tier A Celebrity,56,1,1,0,1,0,2,Caffee,Arabian,2,0,6,6,4,3,6,9,5,NA,NA,NA,8,8,5,1,7
20089,22000000,"chinese,salvadorian",Hyderabad,Near Business Hub,16-02-2011,87,Tier A Celebrity,60,1,1,1,1,1,2,Bar,Arabian,3,0,3,6,6,4,7,9,4,NA,4,NA,8,9,7,3,9
20090,37000000,"algerian,belgian",Kolkata,Near Party Hub,27-12-2009,79.25,Not Specific,80,1,1,0,1,1,2,Bar,90's,3,0,10,5,5,4,6,10,4,NA,NA,NA,8,9,4,2,6
20091,14500000,"british,japanese",Pune,Near Party Hub,26-05-2010,88.66,Not Specific,84.33,1,1,0,1,1,2,Bar,Parsi,2,1,6,4,5,5,9,7,3,3,NA,NA,9,10,7,2,8
20092,27500000,"polish,jewish",Bangalore,Near Party Hub,29-05-2010,80.8,Not Specific,75,1,1,1,1,1,2,Bar,Greek,3,1,4,4,4,3,5,NA,4,NA,5,NA,9,5,4,0,6
20093,150000000,"polish,jewish",Hyderabad,Near Party Hub,30-12-2010,79,Not Specific,87.9,1,1,0,1,1,2,Bar,Arabian,2,1,7,3,4,3,5,7,3,NA,3,NA,7,8,6,2,8
20094,32500000,"tibetan,greek",Gurgaon,Near Party Hub,27-03-2011,70,Tier A Celebrity,65,1,1,1,1,1,2,Bar,90's,2,0,5,4,4,5,6,NA,NA,NA,NA,NA,7,7,3,1,5
20095,27500000,"welsh,thai",Bangalore,Near Party Hub,11-08-2009,,Tier A Celebrity,68.5,1,1,1,1,1,2,Bar,Greek,2,0,7,6,5,3,10,7,4,2,NA,NA,9,9,6,2,6
20096,42500000,"tibetan,italian",HYDERABAD,Near Business Hub,05-08-2009,83.5,Not Specific,94.2,1,1,1,1,0,2,Bar,90's,4,0,6,5,4,4,6,10,4,NA,NA,NA,8,9,4,5,8
20097,45000000,"tibetan,greek",Bangalore,Near Party Hub,21-03-2007,65,Tier A Celebrity,66,1,1,0,1,1,2,Bar,90's,2,0,7,5,5,5,8,10,4,NA,NA,NA,5,7,2,2,9
20098,30000000,"welsh,thai",Bangalore,Near Business Hub,26-04-2011,88,Not Specific,88,1,1,1,1,1,2,Bar,Arabian,3,0,9,7,6,6,8,10,4,NA,4,NA,8,9,8,4,7
20099,47000000,"peruvian,cuban",Jaipur,Near Party Hub,06-10-2007,,Tier A Celebrity,76.6,1,1,0,1,1,2,Bar,90's,3,1,5,6,4,4,6,10,4,NA,NA,NA,,5,5,2,6
20100,12000000,"british,japanese",-1,Near Party Hub,26-06-2007,55.6,Not Specific,50.8,1,0,1,0,1,2,Caffee,Arabian,4,1,4,4,4,3,7,7,4,NA,3,NA,6,8,7,6,8
20101,30000000,"tibetan,italian",Bangalore,Near Party Hub,16-11-2011,75,Not Specific,72,0,1,1,1,1,2,Bar,90's,4,0,4,4,4,4,5,9,5,NA,5,NA,8,9,7,0,6
20102,20500000,"chinese,salvadorian",Chennai,Near Party Hub,29-02-2008,84.6,Not Specific,66.5,1,1,1,1,1,2,Bar,Greek,2,1,8,3,2,3,5,6,1,2,NA,NA,6,7,4,4,5
20103,31000000,"tibetan,greek",Pune,Near Party Hub,21-11-2008,79,Not Specific,76.4,1,1,1,1,0,2,Bar,Greek,2,0,1,6,5,5,10,NA,3,NA,3,NA,10,8,8,0,6
20104,30000000,"japanese,thai",-1,Near Business Hub,01-03-2010,62,Tier A Celebrity,61,1,1,1,1,1,2,Bar,Arabian,3,0,2,2,3,3,9,6,2,NA,NA,NA,5,8,6,4,10
20105,46000000,"turkish,nigerian",-1,Near Party Hub,03-04-2009,,Not Specific,61,1,1,1,1,1,2,Gastro Bar,Arabian,2,0,9,4,5,6,8,10,4,NA,NA,NA,4,3,2,3,2
20106,32000000,"british,japanese",-1,Near Party Hub,08-08-2012,86,Not Specific,92,0,1,1,1,1,2,Bar,Greek,3,0,5,3,5,5,9,8,4,3,NA,NA,8,7,4,2,6
20107,34000000,"polish,jewish",Navi Mumbai,Near Business Hub,09-08-2012,85.8,Tier A Celebrity,65.8,1,1,0,1,1,2,Bar,90's,2,0,8,6,6,7,9,10,4,NA,4,NA,8,9,5,3,7
20108,12000000,"irish,belgian",Noida,Near Party Hub,11-08-2011,68.4,Not Specific,61,0,1,1,1,1,2,Bar,Arabian,2,1,2,4,3,3,6,7,4,NA,3,NA,3,4,4,5,3
20109,10000000,"turkish,sapnish",Noida,Near Party Hub,15-07-2004,51,Not Specific,48,0,1,1,0,1,2,Caffee,Arabian,1,0,8,2,3,3,7,8,4,NA,NA,NA,7,6,5,6,7
20110,51000000,"turkish,sapnish",Noida,Near Party Hub,27-08-2010,79.6,Tier A Celebrity,73.2,1,1,1,1,1,2,Bar,Greek,2,1,8,5,6,6,9,7,NA,2,NA,NA,4,7,5,5,6
20111,30000000,"chinese,salvadorian",Indore,Near Party Hub,03-12-2008,63.4,Not Specific,63,1,1,1,0,1,2,Bar,Greek,2,0,8,3,3,3,6,10,NA,NA,NA,NA,6,4,1,3,4
20112,48000000,"peruvian,cuban",mysore,Near Party Hub,01-12-2008,86.53,Not Specific,71.55,1,1,0,0,1,2,Bar,Arabian,3,0,7,5,5,4,5,10,4,NA,NA,NA,6,8,6,2,7
20113,17000000,"tibetan,italian",-1,Near Business Hub,05-04-2008,76.18,Not Specific,86.33,1,1,0,1,1,2,Bar,Arabian,3,0,8,4,5,3,6,10,4,NA,NA,NA,7,9,5,6,9
20114,34000000,"tibetan,greek",Hyderabad,Near Party Hub,13-04-2010,91.43,Tier A Celebrity,74,1,1,1,1,1,2,Bar,Arabian,3,1,5,6,4,5,7,6,4,NA,2,NA,7,7,4,2,6
20115,64000000,"japanese,thai",Bangalore,Near Party Hub,19-04-2006,,Not Specific,71.3,1,1,1,1,1,2,Bar,90's,2,0,9,4,6,6,6,9,5,NA,NA,NA,6,5,5,3,8
20116,33000000,"tibetan,greek",Chennai,Near Party Hub,08-01-2011,76.17,Not Specific,72,1,1,1,0,1,2,Bar,Arabian,3,0,5,5,5,6,9,9,5,NA,NA,NA,7,5,2,6,3
20117,22500000,"tibetan,greek",THANE,Near Party Hub,20-12-2009,82.4,Tier A Celebrity,72,0,1,1,1,1,2,Bar,Greek,2,0,3,4,5,5,10,7,NA,2,NA,NA,6,7,6,5,8
20118,18000000,"welsh,thai",Noida,Near Party Hub,01-07-2004,58,Not Specific,57.6,1,1,1,1,1,2,Bar,Arabian,2,0,6,2,3,3,6,6,3,NA,NA,NA,8,8,4,4,6
20119,44000000,"polish,jewish",Bangalore,Near Business Hub,23-09-2009,79,Tier A Celebrity,83.4,1,1,1,1,1,2,Bar,Greek,3,0,7,5,4,5,10,7,NA,3,NA,NA,7,8,6,4,6
20120,30500000,"tibetan,greek",Bangalore,Near Business Hub,10-09-2009,90.04,Not Specific,75.16,1,1,1,1,1,2,Bar,Greek,3,0,6,5,4,6,10,8,4,3,NA,NA,6,7,4,4,5
20121,50000000,"tibetan,greek",Gurgaon,Near Business Hub,18-04-2010,76,Tier A Celebrity,76.6,1,1,1,1,1,2,Bar,Arabian,3,0,8,5,6,4,6,9,5,NA,NA,NA,1,6,6,4,7
20122,27000000,"tibetan,italian",Mysore,Near Party Hub,11-10-2007,60.4,Tier A Celebrity,60,1,1,1,0,1,2,Bar,Greek,2,0,4,3,4,3,7,10,NA,NA,NA,NA,6,7,4,5,8
20123,30000000,"indian,irish",Noida,Near Party Hub,25-01-2012,74.23,Not Specific,77.77,0,1,1,1,1,2,Bar,Arabian,3,0,5,4,4,4,9,9,5,NA,NA,NA,7,9,5,4,8
20124,120000000,"tibetan,italian",Maharajganj,Near Party Hub,21-04-2007,59.8,Tier A Celebrity,60.25,1,1,1,1,1,2,Bar,Nature,2,0,2,5,5,4,6,6,NA,NA,NA,2,7,9,7,1,8
20125,31500000,"japanese,thai",-1,Near Business Hub,01-02-2010,,Tier A Celebrity,89.6,1,1,1,1,1,2,Bar,Greek,2,0,1,5,5,3,5,8,3,NA,NA,NA,6,4,7,7,8
