,Registration Number,Annual Turnover
194,50195,39639441.613885105
195,50196,25333076.80187098
196,50197,24893265.981979758
197,50198,24896585.509306625
198,50199,24742414.519583844
199,50200,49314855.18168077
200,50201,18199115.733826518
201,50202,28605919.37445925
202,50203,14707931.396802416
203,50204,40796857.18325207
204,50205,29594520.85421286
205,50206,41014013.6968176
206,50207,22048919.685132347
207,50208,47564019.11127048
208,50209,27034313.276828226
209,50210,34556473.00257617
210,50211,33710239.96198439
211,50212,31896271.53610231
212,50213,37583255.8208211
213,50214,36574983.175218835
214,50215,33038340.787028115
215,50216,35259565.93898968
216,50217,17365417.895291552
217,50218,41539317.45569154
218,50219,22589723.84589407
219,50220,27430881.89389572
220,50221,42888137.55489438
221,50222,27724827.69118323
222,50223,31180183.823402196
223,50224,18720615.715916835
224,50225,29916659.79305078
225,50226,32738865.77507397
226,50227,26520770.77333305
227,50228,28259239.97943009
228,50229,17964592.46228802
229,50230,43976024.68980637
230,50231,37030466.96651484
231,50232,24039059.073333662
232,50233,24142637.064652737
233,50234,38156455.16135024
234,50235,36480590.03715484
235,50236,43348380.56177551
236,50237,23114555.25906641
237,50238,17473562.188256852
238,50239,30857707.07486519
239,50240,32788426.681388263
240,50241,31555407.499686517
241,50242,35850407.73947145
242,50243,26517885.698657416
243,50244,39476748.785041094
244,50245,27281932.765812665
245,50246,30777641.442503657
246,50247,42385739.59205012
247,50248,35677449.70695043
248,50249,37393792.95031463
249,50250,23134744.087542903
250,50251,28191131.14587503
251,50252,27130427.03964316
252,50253,36687778.96389978
253,50254,26601830.19316256
254,50255,37304671.30982494
255,50256,32405224.527153637
256,50257,34287217.687689334
257,50258,23118007.33689417
258,50259,33789133.20133101
259,50260,31661010.473066423
260,50261,24293383.363743167
261,50262,18303795.349569347
262,50263,18493682.539997347
263,50264,26069138.28854416
264,50265,29364987.806171477
265,50266,30016405.02140628
266,50267,33049663.990648452
267,50268,33264479.84992778
268,50269,46744552.62198571
269,50270,37601594.75168964
270,50271,27304922.327825267
271,50272,33138681.593531013
272,50273,30589705.69897797
273,50274,14305103.185630089
274,50275,28615378.938339565
275,50276,32137476.9079699
276,50277,37627963.829151206
277,50278,17976559.01335799
278,50279,28689747.23067402
279,50280,30159163.408953093
280,50281,31066679.32851299
281,50282,34963916.73534536
282,50283,26209468.202794738
283,50284,39183348.327210724
284,50285,22930558.913388904
285,50286,26297924.752830274
286,50287,17693121.248156376
287,50288,48147899.59159857
288,50289,26469563.60738993
289,50290,33514294.896602366
290,50291,27139132.865798846
291,50292,23636695.046698116
292,50293,27805586.878732335
293,50294,15507949.068268387
294,50295,35596171.773565754
295,50296,29487383.877088897
296,50297,31223164.683041323
297,50298,33192693.416653883
298,50299,31300806.335056793
299,50300,31179672.469884
300,50301,38981307.001825556
301,50302,22541788.174919695
302,50303,28966496.46644734
303,50304,41620978.67464205
304,50305,27795178.008118227
305,50306,35904391.5978196
306,50307,27564072.749499526
307,50308,36135663.61473893
308,50309,31271246.720860846
309,50310,28446086.835868776
310,50311,22532369.565990217
311,50312,34611655.138077945
312,50313,26981345.127486818
313,50314,33434289.90072064
314,50315,24804364.86999797
315,50316,42274014.97758303
316,50317,35257003.42399047
317,50318,32557613.611356385
318,50319,30681463.98209265
319,50320,37852983.21934993
320,50321,28216112.767020743
321,50322,26015789.196914405
322,50323,34312929.653601795
323,50324,31176998.34609869
324,50325,17494222.27024114
325,50326,37073474.85450895
326,50327,37277505.81620282
327,50328,30202220.262298755
328,50329,41127570.03954993
329,50330,29932541.319052063
330,50331,21392230.542535912
331,50332,28109975.483333286
332,50333,29460762.09267822
333,50334,26825700.352462076
334,50335,38460827.93259962
335,50336,34829840.48821667
336,50337,20495968.0276371
337,50338,23671312.68762426
338,50339,28976544.032991905
339,50340,28060322.848529354
340,50341,25158715.188414373
341,50342,34147776.63716269
342,50343,35244326.55006688
343,50344,31414480.00679125
344,50345,44899159.27342633
345,50346,25629523.096097924
346,50347,27304130.054199193
347,50348,25120650.162460472
348,50349,28423333.490101222
349,50350,31214345.641798932
350,50351,27424550.809413612
351,50352,36227653.201019615
352,50353,37150218.13750772
353,50354,38325995.97417245
354,50355,15195426.351457853
355,50356,31434397.648270175
356,50357,28747658.604660355
357,50358,25414733.14564149
358,50359,25833706.299727187
359,50360,19500339.245043196
360,50361,28794722.90308758
361,50362,36697982.025207676
362,50363,33948642.576678395
363,50364,39496364.92321596
364,50365,19470578.436120868
365,50366,42023209.084360406
366,50367,42018500.40270967
367,50368,24726322.84601841
368,50369,39770471.84122029
369,50370,21337145.488736257
370,50371,40707803.00880991
371,50372,33642495.0388353
372,50373,29063121.247744806
373,50374,34211956.2207084
374,50375,20739390.156945277
375,50376,24204024.791560467
376,50377,17604417.323367223
377,50378,26282423.466572646
378,50379,36316120.63006183
379,50380,17091772.733030275
380,50381,24181646.90959648
381,50382,39966685.56266911
382,50383,28151658.268615372
383,50384,30507516.41250116
384,50385,15461827.789221179
385,50386,29960502.136275727
386,50387,30969620.10945416
387,50388,30873759.125985727
388,50389,39267858.7772092
389,50390,26305150.8983648
390,50391,29728013.729085557
391,50392,44081242.72384915
392,50393,25939231.948745396
393,50394,26014166.179900732
394,50395,30067261.476552613
395,50396,35846810.28701556
396,50397,41028620.26063741
397,50398,30695412.479734644
398,50399,27907444.794889223
399,50400,38355373.032016635
400,50401,34897506.98061691
401,50402,15116530.756945845
402,50403,26113569.74981855
403,50404,37970552.73428343
404,50405,22593962.284711905
405,50406,26098989.939942114
406,50407,31131989.758392315
407,50408,29268800.928581648
408,50409,35790569.40731258
409,50410,34198447.272776775
410,50411,30653222.167633764
411,50412,32171701.353448324
412,50413,34661207.447736576
413,50414,26113337.93160154
414,50415,46301445.07231404
415,50416,35888976.24143788
416,50417,28149740.70204452
417,50418,36489136.75651842
418,50419,26928420.967766
419,50420,29892407.605726443
420,50421,14927831.84288576
421,50422,34326352.760845736
422,50423,30171194.266255107
423,50424,40593451.86762445
424,50425,27734607.261606883
425,50426,35319257.98185522
426,50427,20490254.516038097
427,50428,33585892.89923578
428,50429,23753648.148912236
429,50430,16723441.386425812
430,50431,17579665.9141062
431,50432,27027727.366114333
432,50433,25320516.2386086
433,50434,24868317.461763874
434,50435,39288837.62231442
435,50436,32449588.00726256
436,50437,24164120.511476606
437,50438,30434654.968276452
438,50439,18724016.97940714
439,50440,33576310.02163475
440,50441,23281127.468663264
441,50442,23972189.706049234
442,50443,20191311.782679625
443,50444,37900957.69846279
444,50445,25134569.88391514
445,50446,31878279.119737353
446,50447,35169390.853999056
447,50448,15610749.847381018
448,50449,40570375.39961922
449,50450,34369275.76754468
450,50451,30710120.006923057
451,50452,20486697.976366654
452,50453,26927002.922541313
453,50454,28395554.853174217
454,50455,19478908.039335724
455,50456,22634097.193263736
456,50457,27457975.77176317
457,50458,18001264.882921815
458,50459,31399653.644963425
459,50460,25334359.81297262
460,50461,26612991.50036929
461,50462,36290240.15981047
462,50463,31081416.38201686
463,50464,34976746.220044486
464,50465,23772751.128821835
465,50466,32192213.776233576
466,50467,32150467.233369343
467,50468,41087351.00660335
468,50469,36517406.389098376
469,50470,23013305.063328236
470,50471,29910675.993785024
471,50472,33102473.033276446
472,50473,34788932.13634812
473,50474,27042794.29720519
474,50475,33725709.62008643
475,50476,39563899.99487905
476,50477,24661775.870499574
477,50478,36412992.00153269
478,50479,24772585.605118375
479,50480,24438907.464557383
480,50481,37306205.57443182
481,50482,45263478.88315895
482,50483,39045280.91799365
483,50484,27978898.23380633
484,50485,36701706.26130616
485,50486,28169027.15290448
486,50487,35276956.03330869
487,50488,37378348.39182445
488,50489,42049131.36766915
489,50490,29845227.307263635
490,50491,29527460.380840007
491,50492,25858777.936046325
492,50493,29045201.205019012
493,50494,30190172.41496129
494,50495,25774206.786363404
495,50496,20490289.455480166
496,50497,31305465.424453866
497,50498,25872697.248883016
498,50499,22982653.485704973
499,50500,31823664.308680154
