,Registration Number,Annual Turnover
120,50121,28366803.623199005
121,50122,21129591.572272032
122,50123,29297105.480611924
123,50124,26096361.77493112
124,50125,23125205.29439862
125,50126,32759357.047667194
126,50127,25452457.93786541
127,50128,23408333.13980166
128,50129,24851854.85244654
129,50130,26877667.612135824
130,50131,29441203.535772257
131,50132,22451586.14835591
132,50133,37177709.728941455
133,50134,33870705.263145976
134,50135,34885583.21678773
135,50136,39195907.552169256
136,50137,38124206.465108275
137,50138,32174380.497822817
138,50139,26993100.62436957
139,50140,24027952.74735383
140,50141,28611736.718733165
141,50142,35015794.43699112
142,50143,24191388.19641343
143,50144,31416095.19990048
144,50145,30505062.966614753
145,50146,38337237.590869255
146,50147,43622664.5879794
147,50148,33688214.95717225
148,50149,26637120.071499534
149,50150,34007192.85967735
150,50151,39221275.22553604
151,50152,27579761.981839165
152,50153,35586944.86957877
153,50154,23173636.83510671
154,50155,36512566.968367286
155,50156,24719603.38065756
156,50157,34749267.7784854
157,50158,35821937.763081826
158,50159,30788123.246335924
159,50160,22281091.004944865
160,50161,33219409.059956428
161,50162,66728530.40507586
162,50163,26810968.00674043
163,50164,37691684.156393915
164,50165,37662411.44826403
165,50166,22189433.787486263
166,50167,52764548.88242865
167,50168,34036869.99011489
168,50169,34531930.17704374
169,50170,33578441.48203396
170,50171,35927398.88782594
171,50172,31590232.18370328
172,50173,38421562.53550541
173,50174,32005393.336391203
174,50175,42705409.21208214
175,50176,30826287.99539704
176,50177,23140110.949304763
177,50178,41694160.81171662
178,50179,21604032.53093294
179,50180,42152808.46541629
180,50181,24356665.748784535
181,50182,29395030.425467294
182,50183,24808366.572719447
183,50184,41300575.18958676
184,50185,33231912.54922525
185,50186,30263065.129553143
186,50187,24895408.71210741
187,50188,38432395.71924928
188,50189,30546681.237764414
189,50190,27332606.069727995
190,50191,20183752.871289752
191,50192,37457825.47208489
192,50193,30090641.63731136
193,50194,26992900.08467008
194,50195,37477725.17666731
195,50196,24039285.98996351
196,50197,23274879.649564434
197,50198,21645014.947895553
198,50199,22450645.159006614
199,50200,49030746.1014913
200,50201,25031107.18008252
201,50202,31517107.305950575
202,50203,21061298.67228876
203,50204,37939290.67625013
204,50205,30406045.971523702
205,50206,39386001.70936253
206,50207,25693256.301131748
207,50208,45850247.22499389
208,50209,29430857.47984233
209,50210,37545444.77835555
210,50211,31960051.736756265
211,50212,34409692.174930856
212,50213,37607043.96012803
213,50214,34707540.002424985
214,50215,36784720.49731988
215,50216,30465606.88181496
216,50217,24611960.867162712
217,50218,36312802.46680076
218,50219,21562565.91276082
219,50220,27385275.48650172
220,50221,42965239.34036479
221,50222,26944335.14552012
222,50223,28530344.73815265
223,50224,22447579.156282086
224,50225,25570675.968100682
225,50226,30104019.709522776
226,50227,26430034.80636344
227,50228,26180696.67165066
228,50229,25797824.643833134
229,50230,43235775.671837375
230,50231,35959486.64632553
231,50232,21742920.032245837
232,50233,24693487.066287324
233,50234,41754879.11206224
234,50235,34142008.43215031
235,50236,44091246.501006044
236,50237,23359582.974916108
237,50238,27048260.750891365
238,50239,29308006.319216378
239,50240,27991639.111897975
240,50241,30639218.556504533
241,50242,33231789.603443183
242,50243,28573251.42836591
243,50244,41127803.67007037
244,50245,30169274.425773397
245,50246,30499888.465192944
246,50247,38294308.28632508
247,50248,34761673.754050426
248,50249,50183657.481418006
249,50250,24289825.32755665
250,50251,34129895.23999067
251,50252,32214986.88031705
252,50253,34971822.34037804
253,50254,26379375.524107568
254,50255,36253979.41241309
255,50256,33755547.356793225
256,50257,26756371.23231509
257,50258,23935308.37130884
258,50259,34251665.78848949
259,50260,32263098.858069394
260,50261,26697830.992570974
261,50262,23254568.01863402
262,50263,25825128.099655967
263,50264,27605404.761423215
264,50265,28867919.66639932
265,50266,29521545.616155
266,50267,31148090.851719357
267,50268,34380112.75271551
268,50269,45370564.38973691
269,50270,36788337.550925694
270,50271,24356133.486084938
271,50272,35006806.44052301
272,50273,27541485.24150841
273,50274,18659356.519436967
274,50275,30218204.598685805
275,50276,32202939.242888775
276,50277,33410189.352072146
277,50278,27400440.319873508
278,50279,29667451.321252983
279,50280,32671633.8773736
280,50281,32052679.418331474
281,50282,31527764.53547283
282,50283,26068900.27626221
283,50284,43944502.94858745
284,50285,27160047.263076443
285,50286,25943126.043612525
286,50287,24848493.436807286
287,50288,45759465.94715446
288,50289,23333548.690381166
289,50290,33769509.51863475
290,50291,26708932.809822086
291,50292,27628259.582302157
292,50293,27563969.409568246
293,50294,26939956.13713686
294,50295,34421760.90410356
295,50296,27043989.800710995
296,50297,25769292.008800175
297,50298,31630964.585077018
298,50299,28363752.00839564
299,50300,33456010.916840266
300,50301,39241771.5714862
301,50302,24909399.478807446
302,50303,29666479.67807167
303,50304,42509679.36059365
304,50305,22956834.445184473
305,50306,33443147.008768298
306,50307,29494362.790596467
307,50308,33022182.249839276
308,50309,27520386.0402968
309,50310,25933507.037602313
310,50311,24753096.20781745
311,50312,36020691.888563044
312,50313,27213233.228385992
313,50314,31211623.10867262
314,50315,22905679.37621006
315,50316,38979795.190375015
316,50317,34022305.35251361
317,50318,31020310.039470937
318,50319,24789994.95279771
319,50320,36636858.92356146
320,50321,28961699.051744636
321,50322,23395343.199034553
322,50323,30403482.129696567
323,50324,29547792.196025778
324,50325,21517192.682766423
325,50326,56365800.63445878
326,50327,37352907.11954965
327,50328,27431152.488860726
328,50329,43212975.4820096
329,50330,30793619.316196565
330,50331,27027218.331291042
331,50332,29538010.586913265
332,50333,27098251.37884892
333,50334,29497385.44269642
334,50335,35643922.87663208
335,50336,38085581.61608248
336,50337,26485232.89340181
337,50338,20273865.114810444
338,50339,29412134.777051743
339,50340,25235283.51922172
340,50341,24954177.251445204
341,50342,33655111.99213189
342,50343,33654394.72891711
343,50344,32405375.37882268
344,50345,44080687.38764295
345,50346,21847826.530326426
346,50347,27027081.431278735
347,50348,24078778.00122172
348,50349,23554779.378834847
349,50350,26234179.333045296
350,50351,27268212.07511519
351,50352,33456725.85755183
352,50353,33843916.55632628
353,50354,36881988.68822687
354,50355,24009833.47387704
355,50356,27487076.402503125
356,50357,27646169.748751577
357,50358,35226201.10905714
358,50359,39513994.28665389
359,50360,32337783.167412695
360,50361,31216851.94140661
361,50362,34016261.60803755
362,50363,32670671.026945885
363,50364,40817325.07340263
364,50365,23391380.174075752
365,50366,35723996.269933626
366,50367,39034603.669118434
367,50368,20869970.90974791
368,50369,32114535.634072293
369,50370,26704956.48718033
370,50371,40343329.25546985
371,50372,33482329.099253777
372,50373,27423451.00464139
373,50374,39634865.11272297
374,50375,25942567.114502635
375,50376,22313145.01962659
376,50377,19098117.365313545
377,50378,25906083.164146278
378,50379,33722413.457995296
379,50380,23575369.639153432
380,50381,26518500.14626641
381,50382,38438952.70762442
382,50383,29685890.08204021
383,50384,28905294.70441053
384,50385,25537015.09108857
385,50386,24084345.222998075
386,50387,34146786.56785438
387,50388,35481789.89413838
388,50389,36940765.44320259
389,50390,26855082.399603173
390,50391,32328644.67429251
391,50392,37591864.74758003
392,50393,25775296.47925009
393,50394,36917782.755450495
394,50395,27636920.18853061
395,50396,31279373.820764992
396,50397,40335467.88579721
397,50398,27614788.789755978
398,50399,25066251.128637806
399,50400,37180942.70913338
400,50401,33737135.11798299
401,50402,21618391.885882042
402,50403,30293787.000097793
403,50404,38691664.06514547
404,50405,24720941.16581951
405,50406,30950589.17688837
406,50407,35123400.83373822
407,50408,30777708.859903842
408,50409,36726154.49250235
409,50410,37987140.66245308
410,50411,26457923.854929462
411,50412,25731762.260382894
412,50413,32652802.89235771
413,50414,27584486.138243087
414,50415,74761706.25186133
415,50416,48604155.49967859
416,50417,30902318.730285123
417,50418,31445297.442607973
418,50419,25855117.22884699
419,50420,34006899.69928675
420,50421,23448451.09990778
421,50422,33786423.099923335
422,50423,28997906.726529814
423,50424,29062008.784705985
424,50425,26984821.69760922
425,50426,36015999.1475664
426,50427,23877888.466051858
427,50428,24046054.215978093
428,50429,21992893.57420766
429,50430,23700408.24650013
430,50431,19530168.38039641
431,50432,24980990.296984456
432,50433,26376637.25620892
433,50434,22853734.462666214
434,50435,44777282.781365484
435,50436,37282931.67155755
436,50437,23419348.470270786
437,50438,30122579.086057138
438,50439,22152948.74505123
439,50440,31797321.911609907
440,50441,23330725.840382967
441,50442,23448102.297563404
442,50443,25129699.14785067
443,50444,23206428.3436443
444,50445,26915151.291591104
445,50446,28545250.63599805
446,50447,41402901.01122816
447,50448,18239393.311834622
448,50449,40224795.00304782
449,50450,32064706.329249777
450,50451,34001034.272113524
451,50452,21545111.963545837
452,50453,26013552.41549772
453,50454,27736458.96094097
454,50455,22300258.878272086
455,50456,33226976.78578185
456,50457,30691234.702322036
457,50458,19310660.1590526
458,50459,36804327.306056544
459,50460,27630059.739237417
460,50461,27553895.015757103
461,50462,35463077.30723039
462,50463,28472317.472458296
463,50464,31369254.987324573
464,50465,27809048.85081415
465,50466,29557004.008161604
466,50467,28621762.159657165
467,50468,34842161.51881732
468,50469,35885999.88350621
469,50470,26778526.04164448
470,50471,34406604.90669849
471,50472,29916301.846842296
472,50473,59176767.30081794
473,50474,29388969.260688387
474,50475,34344588.100365825
475,50476,37947451.9733085
476,50477,35219438.04560282
477,50478,53384521.426812865
478,50479,26418441.153711043
479,50480,25450271.181193233
480,50481,35943692.61105559
481,50482,39313729.91240625
482,50483,37091239.392530814
483,50484,27808216.396619674
484,50485,38185855.40209725
485,50486,30844742.066789832
486,50487,36177278.644861236
487,50488,35930757.697275214
488,50489,44657186.102056205
489,50490,26142806.049060486
490,50491,23920956.072281517
491,50492,28978445.030055277
492,50493,35370375.56545828
493,50494,26580698.208985336
494,50495,25832871.615007184
495,50496,24358100.908351127
496,50497,30213637.67668182
497,50498,25431768.15599933
498,50499,23583252.014327046
499,50500,26550864.789034937
